City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Nyurba,RU,63.2842,118.3319,75.09,58,78,3.02,broken clouds
81,Cape Town,ZA,-33.9258,18.4232,57.38,89,20,3.44,light rain
82,Lasa,IT,46.6166,10.7002,67.37,82,100,2.59,overcast clouds
83,San Matias,BO,-16.3667,-58.4,74.1,40,0,5.01,clear sky
84,Kukushtan,RU,57.6464,56.4952,58.62,91,19,3.4,few clouds
85,Astara,AZ,38.5,48.6667,63.3,58,0,2.19,clear sky
86,Comodoro Rivadavia,AR,-45.8667,-67.5,28.26,69,0,4.61,clear sky
87,Shatrovo,RU,56.5167,64.6333,60.98,84,5,7.34,clear sky
88,Xining,CN,36.6167,101.7667,63.19,47,0,2.84,clear sky
89,Hun,LY,29.1268,15.9477,74.7,47,0,4.85,clear sky
90,Kurri Kurri,AU,-32.8167,151.4833,65.48,79,25,7.16,scattered clouds
91,Ushtobe,KZ,45.2514,77.9838,86.29,25,1,4.03,clear sky
92,Diffa,NE,13.3154,12.6113,80.96,63,100,9.15,overcast clouds
93,Loyga,RU,61.0784,44.6075,62.67,81,92,5.06,overcast clouds
94,Havelock,US,34.8791,-76.9013,84.18,92,0,9.22,clear sky
95,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,3.44,broken clouds
96,La Plata,AR,-34.9215,-57.9545,52.03,92,21,9.06,few clouds
97,Odweyne,SO,9.4092,45.064,68.41,62,78,19.62,broken clouds
98,Ghauspur,PK,28.1391,69.0831,88.3,62,100,5.61,overcast clouds
99,Puerto Escondido,MX,15.85,-97.0667,81.66,78,100,1.01,overcast clouds
100,Port Blair,IN,11.6667,92.75,78.84,94,75,2.3,broken clouds
101,Jaru,BR,-10.4389,-62.4664,80.22,49,70,3.02,broken clouds
102,Omboue,GA,-1.5746,9.2618,69.51,85,71,7.14,broken clouds
103,Mataura,NZ,-46.1927,168.8643,44.47,64,5,2.86,clear sky
104,Kaitangata,NZ,-46.2817,169.8464,44.96,75,3,2.24,clear sky
105,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,8.05,broken clouds
106,Dois Vizinhos,BR,-25.7336,-53.0572,60.01,85,64,3.33,broken clouds
107,Aloleng,PH,16.1307,119.7824,86.5,67,6,1.54,clear sky
108,Charlestown,AU,-32.95,151.6667,65.82,78,13,1.99,few clouds
109,Katsuura,JP,35.1333,140.3,82.36,71,0,19.98,clear sky
110,Pitimbu,BR,-7.4706,-34.8086,72.19,82,97,11.61,overcast clouds
111,Quatre Cocos,MU,-20.2078,57.7625,68.11,75,6,15.66,light rain
112,Saint-Pierre,RE,-21.3393,55.4781,67.68,71,100,3.44,overcast clouds
113,Baykit,RU,61.67,96.37,67.91,71,100,4.23,overcast clouds
114,Qaanaaq,GL,77.484,-69.3632,36.91,98,100,13.89,light rain
115,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,60,75,9.22,broken clouds
116,Kushima,JP,31.4583,131.2333,86.14,52,88,0.94,overcast clouds
117,Nishihara,JP,26.1842,127.7558,87.46,84,75,13.8,light rain
118,Bayir,TR,37.2687,28.2167,68.52,43,0,4.72,clear sky
119,Maragogi,BR,-9.0122,-35.2225,73.96,86,100,7.72,overcast clouds
120,Victoria,HK,22.2855,114.1577,92.97,73,0,8.01,clear sky
121,Marsh Harbour,BS,26.5412,-77.0636,83.05,74,11,12.62,few clouds
122,Lukovetskiy,RU,64.2956,41.9211,61.11,98,100,4.65,overcast clouds
123,Arraial Do Cabo,BR,-22.9661,-42.0278,70.86,89,4,18.63,clear sky
124,Komsomolskiy,UZ,40.4272,71.7189,81.32,32,0,6.91,clear sky
125,Gushikawa,JP,26.3544,127.8686,87.39,84,75,13.8,broken clouds
126,Tiznit,MA,29.5833,-9.5,79.99,38,39,1.54,scattered clouds
127,Ribeira Grande,PT,38.5167,-28.7,73.09,90,60,6.85,broken clouds
128,Ponta Do Sol,PT,32.6667,-17.1,71.71,79,8,5.21,clear sky
