City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bjerkvik,NO,68.5597,17.5189,50.99,94,100,6.98,overcast clouds
81,Bentiu,SS,9.2333,29.8333,72.64,91,97,4.52,overcast clouds
82,Nome,US,64.5011,-165.4064,50.16,83,100,13.13,light rain
83,Grand Gaube,MU,-20.0064,57.6608,68.38,72,1,5.99,clear sky
84,Fairbanks,US,64.8378,-147.7164,62.6,60,75,11.5,broken clouds
85,Saint-Philippe,RE,-21.3585,55.7679,65.21,83,39,14.12,light rain
86,Pemangkat,ID,1.1667,108.9667,82.51,73,70,3.56,broken clouds
87,Campos Altos,BR,-19.6961,-46.1714,58.6,55,5,1.9,clear sky
88,Montorio Al Vomano,IT,42.5831,13.6383,79.95,50,0,6.51,clear sky
89,Templin,DE,53.1186,13.5022,59.09,81,63,2.95,broken clouds
90,Rikitea,PF,-23.1203,-134.9692,72.59,75,18,9.19,few clouds
91,Kodiak,US,57.79,-152.4072,50.31,81,98,7.27,overcast clouds
92,Deputatskiy,RU,69.3,139.9,59.95,46,82,15.35,broken clouds
93,Victoria,HK,22.2855,114.1577,92.97,68,0,8.01,clear sky
94,Mehriz,IR,31.5917,54.4318,81.91,15,1,2.95,clear sky
95,Lorengau,PG,-2.0226,147.2712,84.9,72,28,11.07,scattered clouds
96,Bandarbeyla,SO,9.4942,50.8122,76.75,76,4,27.34,clear sky
97,Diamantino,BR,-14.4086,-56.4461,72.41,42,0,3.49,clear sky
98,Ponta Do Sol,PT,32.6667,-17.1,70.72,77,8,5.21,clear sky
99,Constitucion,CL,-35.3333,-72.4167,52.39,94,100,6.96,overcast clouds
100,Sitka,US,57.0531,-135.33,53.49,87,100,5.75,moderate rain
101,Lipari,IT,38.4674,14.954,76.98,64,0,1.1,clear sky
102,Flinders,AU,-34.5833,150.8552,64.18,74,69,4.0,broken clouds
103,Palu,ID,-0.8917,119.8707,81.59,85,83,2.06,broken clouds
104,Alberdi,AR,-32.8899,-60.6906,57.22,89,0,8.05,clear sky
105,Khatanga,RU,71.9667,102.5,40.66,90,100,13.0,light rain
106,Matagami,CA,49.7502,-77.6328,66.31,72,75,12.66,broken clouds
107,Santa Rosalia,MX,27.3167,-112.2833,92.77,34,14,3.85,few clouds
108,Batagay-Alyta,RU,67.8006,130.4114,71.55,43,14,11.5,light rain
109,Victoria Point,AU,-27.5833,153.3,69.49,65,89,11.01,overcast clouds
110,Klaksvik,FO,62.2266,-6.589,49.12,82,100,6.71,overcast clouds
111,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,9.22,scattered clouds
112,Lovozero,RU,68.005,35.0117,54.1,91,9,3.53,clear sky
113,Chokurdakh,RU,70.6333,147.9167,60.62,41,67,10.78,broken clouds
114,Balabac,PH,7.9868,117.0645,83.98,74,31,0.69,scattered clouds
115,Namatanai,PG,-3.6667,152.4333,85.03,64,2,6.64,clear sky
116,Goderich,CA,43.7501,-81.7165,76.91,65,31,15.55,scattered clouds
117,Beloha,MG,-25.1667,45.05,60.69,75,0,7.36,clear sky
118,Forio,IT,40.7342,13.8646,79.09,85,0,1.01,clear sky
119,Balurghat,IN,25.2167,88.7667,86.59,71,100,7.96,overcast clouds
120,Cap Malheureux,MU,-19.9842,57.6142,68.47,72,1,5.99,clear sky
121,Samana,DO,19.2056,-69.3369,78.78,86,100,10.42,overcast clouds
122,Hobart,AU,-42.8794,147.3294,58.26,70,75,5.75,broken clouds
123,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,6.91,clear sky
124,Castro,BR,-24.7911,-50.0119,57.36,70,58,2.19,broken clouds
125,Lingao,CN,19.9103,109.6859,86.76,71,31,7.09,scattered clouds
126,Coquimbo,CL,-29.9533,-71.3436,55.4,91,23,1.12,few clouds
127,Pinchote,CO,6.5325,-73.1723,64.35,96,84,0.4,broken clouds
128,Chapais,CA,49.7834,-74.8492,58.46,89,8,5.93,clear sky
129,Provideniya,RU,64.3833,-173.3,50.63,63,98,4.65,overcast clouds
130,Arkansas City,US,37.062,-97.0384,88.48,51,0,9.22,clear sky
131,Yellowknife,CA,62.456,-114.3525,64.92,49,10,9.89,clear sky
132,Bubaque,GW,11.2833,-15.8333,78.37,86,100,16.8,moderate rain
133,Jamestown,US,42.097,-79.2353,72.72,76,0,9.22,clear sky
134,Cherskiy,RU,68.75,161.3,53.38,47,23,2.13,few clouds
135,Port Blair,IN,11.6667,92.75,80.24,84,100,8.25,overcast clouds
136,Mutare,ZW,-18.9707,32.6709,49.98,98,38,2.19,scattered clouds
137,Teknaf,BD,20.8624,92.3058,79.77,88,100,9.98,moderate rain
138,Preobrazheniye,RU,42.9019,133.9064,62.71,94,100,7.78,overcast clouds
139,Bani Walid,LY,31.7566,13.9942,69.93,71,0,4.54,clear sky
140,Kathu,TH,7.9178,98.3332,85.75,86,100,2.04,overcast clouds
141,Merauke,ID,-8.4667,140.3333,79.5,80,100,12.28,overcast clouds
142,Jalu,LY,29.0331,21.5482,75.88,51,0,11.88,clear sky
143,Solnechnyy,RU,50.7214,136.6319,59.59,89,100,6.04,overcast clouds
144,Hithadhoo,MV,-0.6,73.0833,82.09,73,100,6.93,overcast clouds
145,Manyana,BW,-23.4,21.7167,54.54,62,0,7.63,clear sky
146,Shimoda,JP,34.6667,138.95,83.64,64,0,17.43,clear sky
147,Tual,ID,-5.6667,132.75,77.94,78,100,15.43,overcast clouds
148,Mbandaka,CD,0.0487,18.2603,68.74,98,100,3.31,overcast clouds
149,Alakurtti,RU,66.9672,30.3491,54.3,94,100,2.84,overcast clouds
150,Porto Novo,BJ,6.4965,2.6036,74.32,88,99,5.68,overcast clouds
151,Robore,BO,-18.3333,-59.75,70.23,45,0,3.04,clear sky
152,Tiksi,RU,71.6872,128.8694,46.9,84,98,6.17,overcast clouds
153,Saint Anthony,US,45.0205,-93.218,86.94,52,0,8.05,clear sky
154,Babana,NG,10.4295,3.815,72.12,97,100,3.69,light rain
155,Port Lincoln,AU,-34.7333,135.8667,59.92,71,3,5.7,clear sky
156,Talnakh,RU,69.4865,88.3972,76.21,37,14,5.73,few clouds
157,Jardim,BR,-21.4803,-56.1381,70.12,45,93,1.81,overcast clouds
158,Peniche,PT,39.3558,-9.3811,65.28,93,0,14.58,clear sky
159,Yumen,CN,40.2833,97.2,84.49,13,0,14.63,clear sky
160,Erzurum,TR,40.0,41.5,42.48,83,0,3.78,clear sky
161,Airai,TL,-8.9266,125.4092,67.21,45,23,3.58,few clouds
162,Nanortalik,GL,60.1432,-45.2371,45.55,85,53,1.66,broken clouds
163,Ketchikan,US,55.3422,-131.6461,63.07,67,40,8.05,scattered clouds
164,Bom Jesus,BR,-9.0744,-44.3586,73.0,46,73,5.26,broken clouds
165,Lagoa,PT,39.05,-27.9833,71.55,92,100,8.25,overcast clouds
166,Marquette,US,46.5333,-87.6335,72.84,76,54,5.86,broken clouds
167,Abu Dhabi,AE,24.4667,54.3667,98.71,53,0,3.44,clear sky
168,Ishigaki,JP,24.3448,124.1572,91.53,70,40,9.22,scattered clouds
169,Leh,IN,34.1667,77.5833,67.91,24,93,4.74,overcast clouds
170,Muros,ES,42.7762,-9.0603,63.09,79,0,9.95,clear sky
171,Ranong,TH,9.9658,98.6348,77.41,89,100,2.08,overcast clouds
172,Kushmurun,KZ,52.4503,64.6311,67.1,58,0,3.31,clear sky
173,Iksha,RU,56.1667,37.5167,62.78,83,39,5.88,scattered clouds
174,Andenes,NO,69.3143,16.1194,51.78,87,100,17.27,overcast clouds
175,Avarua,CK,-21.2078,-159.775,80.65,74,40,13.8,scattered clouds
176,Tairua,NZ,-37.0167,175.85,54.84,66,98,8.25,overcast clouds
177,Rosetta,EG,31.4044,30.4164,75.56,81,4,8.75,clear sky
178,Artesia,US,33.8658,-118.0831,89.08,67,0,10.36,clear sky
179,Katobu,ID,-4.9408,122.5276,82.83,59,23,6.35,few clouds
180,Clyde River,CA,70.4692,-68.5914,51.12,65,62,1.36,broken clouds
181,Skjervoy,NO,70.0311,20.9714,51.8,83,100,14.45,light rain
182,Kyabe,TD,9.4515,18.9449,70.07,96,78,3.69,broken clouds
183,Lakatoro,VU,-16.0999,167.4164,82.04,78,68,12.28,broken clouds
184,Salalah,OM,17.0151,54.0924,75.29,100,100,8.05,overcast clouds
185,Mugumu,TZ,-1.85,34.7,57.25,68,26,4.74,scattered clouds
186,Tessalit,ML,20.1986,1.0114,93.0,22,68,5.12,broken clouds
187,Faanui,PF,-16.4833,-151.75,78.6,75,11,11.48,few clouds
188,Mokhotlong,LS,-29.2894,29.0675,36.7,70,0,2.35,clear sky
189,Berdigestyakh,RU,62.0989,126.6992,74.01,62,61,2.68,broken clouds
190,Nago,JP,26.5881,127.9761,90.03,76,69,10.22,broken clouds
191,Hualmay,PE,-11.0964,-77.6139,61.36,85,42,7.52,scattered clouds
192,Novouzensk,RU,50.4592,48.1431,69.96,61,97,5.64,overcast clouds
193,Geraldton,AU,-28.7667,114.6,63.01,72,40,14.97,scattered clouds
194,Rio Rancho,US,35.2334,-106.6645,91.54,27,0,8.05,clear sky
195,Tupik,RU,54.4253,119.9327,74.41,62,43,8.9,scattered clouds
196,Voh,NC,-20.9667,164.7,76.73,85,100,8.72,moderate rain
197,Chara,RU,56.9064,118.2631,77.38,59,88,0.94,overcast clouds
198,Aleppo,SY,36.25,37.5,73.85,48,0,11.16,clear sky
199,Codrington,AU,-38.2667,141.9667,53.92,92,100,12.64,overcast clouds
200,Hilo,US,19.7297,-155.09,83.28,81,75,8.05,moderate rain
201,Pacific Grove,US,36.6177,-121.9166,69.35,76,0,8.05,clear sky
202,Pevek,RU,69.7008,170.3133,33.39,91,99,6.76,overcast clouds
203,Thompson,CA,55.7435,-97.8558,53.17,83,100,6.11,overcast clouds
204,Upernavik,GL,72.7868,-56.1549,42.3,95,100,13.13,overcast clouds
205,Vzmorye,RU,54.6961,20.2361,64.49,88,82,5.41,broken clouds
206,Brigantine,US,39.4101,-74.3646,82.6,77,0,6.91,clear sky
207,Teguise,ES,29.0605,-13.564,73.62,78,20,6.91,few clouds
208,Arraial Do Cabo,BR,-22.9661,-42.0278,70.86,89,4,18.63,clear sky
209,Saskylakh,RU,71.9167,114.0833,58.5,52,98,7.29,overcast clouds
210,Moron,AR,-34.6534,-58.6198,53.92,88,7,7.47,clear sky
211,Cascais,PT,38.6979,-9.4215,67.93,75,0,24.0,clear sky
212,Gat,IL,31.61,34.7642,75.88,100,0,0.89,clear sky
213,Hamilton,US,39.1834,-84.5333,81.88,73,0,0.0,clear sky
214,Tuatapere,NZ,-46.1333,167.6833,47.08,71,11,2.71,few clouds
215,Srednekolymsk,RU,67.45,153.6833,59.47,43,3,12.84,clear sky
216,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,83,100,10.36,light rain
217,West Monroe,US,32.5185,-92.1476,83.12,88,0,0.0,clear sky
218,Vanimo,PG,-2.6741,141.3028,85.8,65,13,6.15,few clouds
219,Kaitangata,NZ,-46.2817,169.8464,44.96,75,3,2.24,clear sky
220,Saint George,US,37.1041,-113.5841,105.64,15,0,13.8,clear sky
221,Falciu,RO,46.2961,28.1408,64.98,46,41,4.97,scattered clouds
222,Tabligbo,TG,6.5833,1.5,72.14,90,92,3.91,overcast clouds
223,Mawlaik,MM,23.6333,94.4167,79.75,92,98,3.24,heavy intensity rain
224,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.28,88,0,12.57,clear sky
225,Marrakesh,MA,31.6315,-8.0083,87.87,29,20,1.14,few clouds
226,Baoning,CN,25.3378,110.026,87.96,65,0,4.83,clear sky
227,Sorong,ID,-0.8833,131.25,83.37,70,14,10.85,few clouds
228,Mount Isa,AU,-20.7333,139.5,71.37,28,0,11.5,clear sky
229,Noyabrsk,RU,63.1994,75.4507,49.8,76,100,13.87,overcast clouds
230,Cidreira,BR,-30.1811,-50.2056,63.12,94,99,2.08,light rain
231,Lata,PT,40.1629,-8.3327,63.07,90,0,1.39,clear sky
232,Namie,JP,37.4833,141.0,89.71,76,55,3.96,broken clouds
233,Gladstone,AU,-23.85,151.25,69.73,56,0,9.22,clear sky
234,Kuroiso,JP,36.9667,140.05,82.92,69,88,3.91,overcast clouds
235,Sabha,LY,27.0377,14.4283,77.14,28,0,10.13,clear sky
236,Edson,CA,53.5835,-116.4356,63.64,63,96,3.98,overcast clouds
237,Kahului,US,20.8947,-156.47,87.82,45,40,24.16,scattered clouds
238,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,84,98,1.03,overcast clouds
239,Santa Catalina,PH,9.3337,122.8637,84.45,74,74,4.76,broken clouds
240,Jinxiang,CN,27.4327,120.6062,90.34,66,19,6.98,few clouds
241,Bayan,CN,46.0833,127.4,76.5,57,76,14.2,broken clouds
242,Yerbogachen,RU,61.2767,108.0108,73.08,53,100,7.56,overcast clouds
243,Nantucket,US,41.2835,-70.0995,78.91,72,20,8.05,mist
244,Athabasca,CA,54.7169,-113.2854,60.3,78,73,6.71,broken clouds
245,Turukhansk,RU,65.8167,87.9833,71.04,57,6,18.72,clear sky
246,San Antonio,US,29.4241,-98.4936,93.65,45,0,23.02,clear sky
247,Bethel,US,41.3712,-73.414,77.63,89,0,0.0,clear sky
248,Alta Floresta,BR,-9.8756,-56.0861,76.39,38,82,1.3,broken clouds
249,Port Hedland,AU,-20.3167,118.5667,78.85,50,0,13.8,clear sky
250,Tarata,BO,-17.6167,-66.0167,59.07,57,4,4.21,clear sky
251,Georgetown,MY,5.4112,100.3354,84.13,83,20,0.0,few clouds
252,Gashua,NG,12.871,11.0482,79.66,69,95,8.08,light rain
253,Buchanan,LR,5.8808,-10.0467,75.63,78,86,7.09,overcast clouds
254,Locri,IT,38.2414,16.2623,76.32,68,0,10.49,clear sky
255,Quatre Cocos,MU,-20.2078,57.7625,68.09,75,6,15.66,light rain
256,Vagur,FO,61.4732,-6.8119,49.8,84,100,9.55,overcast clouds
257,Ryki,PL,51.6257,21.9327,65.62,40,0,3.8,clear sky
258,Palana,RU,59.1167,159.9667,56.77,57,54,10.36,broken clouds
259,Ixtapa,MX,20.7,-105.2,83.43,89,100,6.91,overcast clouds
260,Manado,ID,1.487,124.8455,86.77,74,40,9.22,scattered clouds
261,Ribeira Grande,PT,38.5167,-28.7,73.09,90,60,6.85,broken clouds
262,Simao,CN,22.7886,100.9748,70.56,91,66,2.1,broken clouds
263,Bengkulu,ID,-3.8004,102.2655,81.86,70,30,2.06,scattered clouds
264,Torbay,CA,47.6666,-52.7314,68.88,91,100,11.5,overcast clouds
265,Chor,PK,25.5167,69.7667,83.8,79,100,14.9,overcast clouds
266,Esso,RU,55.9333,158.7,70.11,48,4,6.31,clear sky
267,Waipawa,NZ,-41.4122,175.5153,46.45,68,98,6.06,overcast clouds
268,Mehamn,NO,71.0357,27.8492,51.75,82,20,12.66,few clouds
269,Togur,RU,58.3631,82.8265,57.43,73,69,13.94,broken clouds
