City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esil,KZ,2022-07-21 23:42:36,51.9556,66.4042,59.05,72,0,6.6
68,Cherskiy,RU,2022-07-21 23:42:37,68.75,161.3,49.17,41,98,12.33
69,Port Lincoln,AU,2022-07-21 23:42:37,-34.7333,135.8667,56.16,62,100,19.8
70,Puebla,MX,2022-07-21 23:39:50,18.8333,-98.0,79.54,26,69,12.93
71,Dongsheng,CN,2022-07-21 23:42:37,39.8161,109.9776,57.97,78,100,10.36
72,Avarua,CK,2022-07-21 23:42:38,-21.2078,-159.775,75.25,73,100,17.27
73,Cabra,ES,2022-07-21 23:42:38,37.4725,-4.4421,75.16,55,1,7.11
74,Ixtapa,MX,2022-07-21 23:42:39,20.7,-105.2,89.22,76,26,5.01
75,San Jeronimo,PE,2022-07-21 23:42:39,-11.9472,-75.2829,51.6,66,42,5.91
76,Yumen,CN,2022-07-21 23:38:25,40.2833,97.2,69.73,25,0,6.08
77,Ladozhskaya,RU,2022-07-21 23:42:39,45.3081,39.935,59.5,71,16,6.46
78,Broken Hill,AU,2022-07-21 23:38:39,-31.95,141.4333,53.13,70,72,15.48
79,Mount Pleasant,US,2022-07-21 23:42:40,32.7941,-79.8626,86.99,75,20,9.22
80,Hermanus,ZA,2022-07-21 23:42:40,-34.4187,19.2345,44.8,74,100,4.94
81,Kodiak,US,2022-07-21 23:39:36,57.79,-152.4072,53.11,87,100,5.75
82,Luderitz,NA,2022-07-21 23:42:41,-26.6481,15.1594,62.76,52,0,7.72
83,Urusha,RU,2022-07-21 23:39:13,54.05,122.9,73.33,67,34,3.27
84,Ahipara,NZ,2022-07-21 23:42:42,-35.1667,173.1667,59.16,63,74,8.1
85,Jasper,US,2022-07-21 23:42:42,37.2001,-94.3502,103.98,21,20,4.61
86,Chicama,PE,2022-07-21 23:42:43,-7.8447,-79.1469,61.34,78,79,7.38
87,Diffa,NE,2022-07-21 23:42:43,13.3154,12.6113,80.91,61,79,6.02
88,Port Alfred,ZA,2022-07-21 23:42:43,-33.5906,26.891,57.02,80,0,9.15
89,Boden,SE,2022-07-21 23:42:44,65.8252,21.6886,62.6,94,96,3.47
90,Rikitea,PF,2022-07-21 23:42:44,-23.1203,-134.9692,74.48,80,95,22.79
91,Saint-Philippe,RE,2022-07-21 23:42:44,-21.3585,55.7679,65.21,74,50,11.41
92,Geraldton,AU,2022-07-21 23:42:45,-28.7667,114.6,54.01,94,100,6.91
93,Hobart,AU,2022-07-21 23:41:15,-42.8794,147.3294,49.26,81,20,12.66
94,Sungaipenuh,ID,2022-07-21 23:41:36,-2.0833,101.3833,64.58,96,99,3.53
95,Ambulu,ID,2022-07-21 23:40:31,-8.345,113.6058,74.75,82,99,3.42
96,Duku,NG,2022-07-21 23:43:46,11.2361,4.9073,74.88,87,53,1.83
97,Araouane,ML,2022-07-21 23:39:35,18.9048,-3.5265,90.9,39,40,10.56
98,Adrar,MR,2022-07-21 23:43:46,20.5022,-10.0711,92.19,33,80,4.61
99,Faanui,PF,2022-07-21 23:43:46,-16.4833,-151.75,77.27,73,13,10.87
100,Victoria,HK,2022-07-21 23:42:08,22.2855,114.1577,88.97,82,0,4.0
101,Nikolskoye,RU,2022-07-21 23:43:47,59.7035,30.7861,65.8,91,0,3.44
102,Thompson,CA,2022-07-21 23:40:30,55.7435,-97.8558,68.16,64,75,8.05
103,Colombo,LK,2022-07-21 23:38:53,6.9319,79.8478,78.75,87,100,13.56
104,Barcelos,PT,2022-07-21 23:43:48,41.5388,-8.6151,67.91,89,66,2.21
105,Lompoc,US,2022-07-21 23:39:02,34.6391,-120.4579,88.02,73,0,18.01
106,Leticia,CO,2022-07-21 23:43:48,-4.2153,-69.9406,78.85,89,75,4.61
107,Butaritari,KI,2022-07-21 23:43:48,3.0707,172.7902,81.23,76,66,6.49
108,Norman Wells,CA,2022-07-21 23:43:49,65.282,-126.8329,75.24,50,75,3.44
109,Bluff,NZ,2022-07-21 23:43:49,-46.6,168.3333,43.81,74,91,8.08
110,Nyagan,RU,2022-07-21 23:43:50,62.1406,65.3936,52.18,86,60,5.17
111,Komarikhinskiy,RU,2022-07-21 23:43:50,58.0979,57.1163,52.34,97,14,2.24
112,Touros,BR,2022-07-21 23:43:21,-5.1989,-35.4608,75.02,86,100,8.55
113,Tiksi,RU,2022-07-21 23:43:51,71.6872,128.8694,43.03,80,94,8.95
114,Hami,CN,2022-07-21 23:43:51,42.8,93.45,77.0,25,0,4.27
115,Sitka,US,2022-07-21 23:43:52,57.0531,-135.33,57.09,77,75,0.0
116,Immokalee,US,2022-07-21 23:43:52,26.4187,-81.4173,82.9,84,75,6.91
117,Florianopolis,BR,2022-07-21 23:43:52,-27.6146,-48.5012,65.7,83,0,14.97
118,Rawson,AR,2022-07-21 23:43:53,-43.3002,-65.1023,44.06,47,100,11.32
119,Talnakh,RU,2022-07-21 23:43:54,69.4865,88.3972,60.21,75,37,4.9
120,Liverpool,GB,2022-07-21 23:43:54,53.4106,-2.9779,62.62,76,20,4.61
121,Kalmunai,LK,2022-07-21 23:40:53,7.4167,81.8167,78.73,84,97,3.65
122,Qaanaaq,GL,2022-07-21 23:43:54,77.484,-69.3632,44.17,91,100,9.78
123,Tuktoyaktuk,CA,2022-07-21 23:43:55,69.4541,-133.0374,57.2,88,75,6.91
124,Cabedelo,BR,2022-07-21 23:43:55,-6.9811,-34.8339,74.07,86,100,7.31
125,Cayenne,GF,2022-07-21 23:43:56,4.9333,-52.3333,81.09,1,0,0.0
126,Padang,ID,2022-07-21 23:43:56,-0.9492,100.3543,73.45,86,91,4.23
